Star ID,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12
549,4,5,9,7,9,13,15,11,29,26,31,37
622,2,6,8,8,10,10,13,23,22,21,32,38
622,2,6,7,9,10,10,12,22,23,21,32,38
622,2,6,7,9,10,10,12,23,23,21,32,38
622,1,6,7,9,10,10,12,22,23,22,32,38
622,2,6,7,9,10,10,12,22,22,21,32,38
622,2,6,8,8,10,10,13,22,23,21,32,38
622,2,6,8,8,10,10,13,21,23,21,32,38
622,2,6,8,8,10,10,12,23,22,21,32,39
622,2,6,8,8,10,10,14,23,22,21,32,37
622,2,6,7,9,10,10,12,22,23,21,32,38
622,1,6,7,9,10,10,12,22,23,21,32,38
622,2,6,8,8,10,10,13,22,22,21,32,39
622,2,6,8,8,10,10,12,22,23,21,32,38
622,2,6,8,8,10,10,12,22,23,21,32,39
622,2,6,7,9,10,10,13,22,23,21,32,38
649,2,8,4,12,10,7,18,17,22,29,35,38
649,2,8,4,12,10,7,19,17,22,27,35,37
649,2,8,4,12,10,7,18,17,22,28,35,37
649,2,8,4,12,10,8,18,17,22,28,35,38
649,2,8,4,12,10,8,18,17,21,28,35,36
649,2,8,4,12,10,7,18,19,20,28,35,38
649,2,8,4,12,10,7,18,17,22,27,35,37
649,2,8,4,12,10,7,18,17,21,28,35,38
649,2,8,4,12,10,8,18,17,22,27,35,38
649,2,8,4,12,10,7,18,17,21,30,35,38
649,2,8,4,12,10,8,18,18,21,28,35,37
649,2,8,4,12,10,9,18,17,21,28,35,37
649,2,8,4,11,10,7,18,18,21,28,35,38
649,2,8,4,12,10,8,18,18,22,28,34,38
649,2,8,4,13,9,7,18,17,22,28,35,38
684,3,6,8,8,12,6,14,18,21,27,40,36
684,3,6,8,8,12,5,14,18,21,27,40,35
684,3,6,8,8,12,6,13,18,21,27,40,34
684,3,6,8,8,13,5,14,18,21,27,39,35
684,3,6,8,8,12,6,14,18,21,27,39,35
684,3,6,8,8,12,6,14,18,21,26,40,35
684,3,6,8,8,12,5,14,17,21,27,40,34
684,3,6,8,8,12,6,12,18,21,27,40,35
684,3,6,8,8,12,6,14,18,21,28,40,35
684,3,6,8,8,12,6,13,18,21,27,40,36
684,3,6,8,8,12,6,14,18,21,27,40,35
684,3,6,8,8,12,5,14,18,21,27,39,36
684,3,6,8,8,12,5,14,18,20,27,40,36
684,3,6,8,8,12,5,14,18,21,27,40,35
684,3,6,8,8,12,5,14,19,21,27,39,34
690,3,6,6,9,10,9,14,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,33
690,3,6,6,9,10,9,13,20,21,26,41,34
690,3,6,6,9,10,9,13,20,21,27,40,34
690,3,6,6,9,10,9,15,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,28,41,34
690,3,6,6,10,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,33
690,3,6,6,8,10,9,13,20,21,27,41,34
690,3,6,7,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,14,20,21,27,40,34
690,3,6,6,9,10,9,14,21,21,27,41,34
690,3,6,6,9,9,9,13,20,21,27,42,34
690,3,6,6,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,33
692,2,7,7,8,13,5,15,16,24,26,38,30
692,2,7,7,8,14,4,14,16,24,26,38,31
692,2,6,7,8,15,4,15,16,24,26,38,31
692,2,7,7,8,14,4,14,16,24,26,38,31
692,2,7,7,8,14,4,14,16,24,26,37,30
692,2,7,7,8,13,5,14,16,24,26,39,30
692,2,7,7,8,14,4,14,16,24,26,38,31
692,2,7,7,8,14,4,14,16,24,26,38,31
692,2,7,7,8,14,4,15,16,24,26,38,31
692,2,7,7,8,14,4,15,17,24,26,38,31
692,2,7,7,8,14,4,14,16,24,26,38,30
692,2,7,7,8,15,4,15,16,24,26,37,31
692,2,7,7,8,13,5,15,16,24,26,37,30
692,2,7,8,8,14,4,13,16,24,26,38,31
692,2,8,7,8,13,5,14,16,24,26,38,30
782,2,4,10,9,9,11,9,19,23,26,38,39
782,2,4,10,9,9,11,10,19,24,25,38,39
782,2,4,10,9,9,11,9,19,24,26,38,39
782,2,4,10,9,9,11,10,19,23,25,39,38
782,2,4,10,9,9,11,10,19,24,25,39,39
782,2,4,10,9,9,11,10,19,24,24,40,38
782,2,4,10,9,9,11,9,19,23,27,37,40
782,2,4,10,9,9,11,9,19,23,26,38,40
782,2,4,10,9,9,11,9,19,23,26,37,40
782,2,4,10,9,9,11,9,19,24,25,38,41
782,2,4,10,9,9,11,9,19,23,26,37,41
782,2,4,10,9,9,11,9,19,23,26,38,40
782,2,4,10,9,9,11,9,19,24,25,39,38
782,2,4,10,9,10,10,9,19,23,26,38,40
782,2,4,10,9,10,11,9,19,23,26,37,40
1167,1,2,9,12,7,10,16,17,21,27,28,32
1167,1,2,9,12,7,10,16,18,21,26,29,32
1167,1,2,9,12,7,10,16,18,21,27,29,31
1167,1,2,9,12,7,10,15,17,21,27,29,33
1167,1,2,10,12,7,10,16,16,21,27,29,32
1167,1,2,9,12,8,10,16,16,21,27,29,32
1167,1,2,9,12,7,10,16,19,21,27,28,32
1167,1,2,9,12,7,10,16,17,21,27,29,32
1167,1,2,9,12,7,10,16,17,21,27,30,31
1167,1,2,9,12,7,10,16,17,20,28,29,32
1167,1,2,9,13,7,10,16,17,21,27,29,32
1167,1,2,9,12,7,10,16,18,21,26,29,32
1167,1,2,9,12,7,10,16,18,21,27,29,32
1167,1,2,9,12,7,10,16,18,21,27,29,31
1167,1,2,9,12,7,10,16,17,21,27,29,32
1178,1,2,10,6,7,16,13,15,24,29,29,37
1178,1,2,10,6,7,16,13,14,24,30,29,37
1178,1,2,10,6,7,15,13,14,24,31,28,38
1178,1,2,10,6,7,16,13,14,24,30,29,38
1178,1,2,10,6,7,16,13,14,24,30,29,37
1178,1,2,10,6,7,16,13,14,24,29,29,37
1178,1,2,10,6,7,16,13,14,24,30,29,37
1178,1,2,11,6,7,16,13,14,24,31,28,36
1178,1,2,10,6,7,16,13,14,24,30,28,37
1178,1,2,10,6,7,16,13,14,24,30,28,37
1178,1,2,10,6,7,16,13,14,24,31,28,37
1178,1,2,10,6,7,16,13,14,24,30,28,37
1178,1,2,10,6,7,16,12,14,24,31,29,37
1178,1,2,10,6,7,17,12,14,24,30,28,37
1178,1,3,10,6,7,16,13,14,24,31,27,37
1550,1,2,2,4,12,9,15,19,24,15,16,28
1550,1,2,2,4,12,9,15,19,24,15,16,27
1550,1,2,2,4,12,9,15,18,24,15,14,28
1550,1,2,2,4,12,9,15,18,24,15,15,29
1550,1,2,2,4,12,9,15,19,24,14,17,28
1550,1,2,2,4,12,9,15,18,23,16,17,28
1550,1,2,2,4,12,8,15,18,24,15,16,30
1550,1,2,2,4,12,9,15,18,24,16,17,30
1550,1,2,2,4,12,9,15,18,23,15,17,29
1550,1,2,2,4,12,8,15,18,24,15,16,30
1550,1,2,2,4,12,9,15,18,24,15,16,29
1550,1,2,2,4,12,9,15,18,24,15,16,29
1550,1,2,2,4,12,9,15,18,25,15,15,29
1550,1,2,2,4,12,9,15,18,24,15,17,29
1550,1,2,2,4,12,9,15,18,24,15,16,29
1700,2,2,2,7,12,12,16,24,25,15,30,26
1700,2,2,2,7,12,13,16,23,25,15,30,26
1700,2,2,2,7,11,13,16,24,25,16,29,26
1700,2,2,3,7,12,13,16,24,25,15,30,26
1700,2,2,2,7,12,13,16,24,26,14,31,26
1700,2,2,2,7,12,13,16,24,25,15,29,26
1700,2,2,2,7,12,13,16,24,25,14,29,26
1700,2,2,2,7,12,13,16,24,25,15,29,26
1700,2,2,2,7,12,13,17,24,25,16,29,26
1700,2,2,2,7,12,12,16,24,25,15,30,26
1700,2,2,2,7,12,13,16,24,25,15,30,26
1700,2,2,2,7,12,13,16,24,25,15,29,26
1700,2,2,2,7,12,13,16,24,25,17,29,26
1700,2,2,2,7,12,13,16,24,25,15,30,27
1700,2,2,2,7,12,13,16,24,25,16,29,26
1713,2,2,2,5,8,15,17,18,23,22,26,17
1713,2,1,2,5,7,17,17,18,22,22,27,17
1713,2,1,2,5,8,15,17,17,23,22,28,17
1713,2,1,2,5,8,15,17,18,23,22,27,17
1713,2,1,2,5,8,15,17,18,23,22,27,17
1713,2,1,2,5,8,15,17,18,23,22,27,17
1713,2,1,2,5,8,15,17,18,23,23,27,17
1713,2,1,2,5,8,15,17,18,23,22,26,17
1713,2,1,2,5,7,16,17,18,23,22,27,18
