Star ID,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12
549,3,5,9,7,9,13,15,11,29,26,32,37
622,2,6,8,8,10,10,13,23,22,21,32,38
622,2,6,7,9,10,10,12,22,23,21,32,38
622,2,6,7,9,10,10,12,22,23,21,32,38
622,2,6,7,9,10,10,12,22,23,21,32,38
622,2,6,7,9,10,10,12,23,22,21,32,38
622,2,6,8,8,10,10,13,22,23,21,32,38
622,2,6,8,8,10,10,13,22,23,21,32,38
622,2,6,8,8,10,10,12,23,22,21,32,38
622,2,6,8,8,10,10,13,23,22,21,32,38
622,2,6,7,9,10,10,13,22,23,21,32,38
622,2,6,7,9,10,10,12,22,23,21,32,38
622,2,6,8,8,10,10,13,22,23,21,32,38
622,2,6,8,8,10,10,12,22,23,21,32,38
622,2,6,8,8,10,10,13,22,23,21,32,38
622,2,6,7,9,10,10,13,22,23,21,32,38
649,2,8,4,12,10,7,18,17,22,28,35,38
649,2,8,4,12,10,7,18,17,22,28,35,37
649,2,8,4,12,10,7,18,17,22,28,35,37
649,2,8,4,12,10,7,18,17,22,28,35,37
649,2,8,4,12,10,8,18,17,21,29,35,36
649,2,8,4,12,10,8,18,18,21,28,35,38
649,2,8,4,12,10,7,18,17,22,28,35,37
649,2,8,4,12,10,7,18,18,21,28,35,38
649,2,8,4,12,10,8,18,17,22,28,35,37
649,2,8,4,12,10,7,18,17,21,29,35,38
649,2,8,4,12,10,7,17,18,21,28,35,37
649,2,8,4,12,10,8,18,17,22,28,35,37
649,2,8,4,12,10,7,18,18,21,28,35,38
649,2,8,4,12,10,8,18,18,21,28,35,38
649,2,8,4,12,10,7,18,17,22,28,35,38
684,3,6,8,8,12,6,14,18,21,27,40,35
684,3,6,8,8,12,5,14,18,21,27,40,35
684,3,6,8,8,12,6,13,18,21,27,40,34
684,3,6,8,8,12,5,14,18,21,27,40,35
684,3,6,8,8,12,6,14,18,21,27,40,35
684,3,6,8,8,12,6,13,18,21,27,40,35
684,3,6,8,8,12,5,14,18,21,27,40,34
684,3,6,8,8,12,6,13,18,21,27,40,35
684,3,6,8,8,12,6,14,18,21,27,40,35
684,3,6,8,8,12,6,13,18,21,27,40,35
684,3,6,8,8,12,6,14,18,21,27,40,34
684,3,6,8,8,12,5,14,18,21,27,40,35
684,3,6,8,8,12,5,14,18,21,27,40,35
684,3,6,8,8,12,5,14,18,21,27,40,35
684,3,6,8,8,12,5,14,18,21,27,40,34
690,3,6,6,9,10,9,14,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,14,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,14,20,21,27,41,34
690,3,6,6,9,10,9,14,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,34
690,3,6,6,9,10,9,13,20,21,27,41,34
692,2,7,7,8,13,5,15,16,24,26,38,30
692,2,7,7,8,14,4,14,16,24,26,38,31
692,2,7,7,8,14,4,15,16,24,26,38,31
692,2,7,7,8,14,4,14,16,24,26,38,31
692,2,7,7,8,14,4,14,16,24,26,38,30
692,2,7,7,8,13,5,14,16,24,26,38,31
692,2,7,7,8,14,4,14,16,24,26,38,31
692,2,7,7,8,14,4,14,16,24,26,38,31
692,2,7,7,8,14,4,15,16,24,26,38,31
692,2,7,7,8,14,4,15,16,24,26,38,31
692,2,7,7,8,14,4,14,16,24,26,38,30
692,2,7,7,8,14,4,15,16,24,26,38,31
692,2,7,7,8,13,5,15,16,24,26,38,30
692,2,7,7,8,14,4,14,16,24,26,38,31
692,2,7,7,8,13,5,15,16,24,26,38,30
782,2,4,10,9,9,11,9,19,23,26,38,39
782,2,4,10,9,9,11,10,19,24,25,38,39
782,2,4,10,9,9,11,9,19,24,25,38,39
782,2,4,10,9,9,11,10,19,23,26,39,38
782,2,4,10,9,9,11,10,19,24,25,38,39
782,2,4,10,9,9,11,10,19,24,25,39,38
782,2,4,10,9,9,11,9,19,23,26,37,40
782,2,4,10,9,9,11,9,19,23,26,38,39
782,2,4,10,9,9,11,9,19,23,26,37,40
782,2,4,10,9,9,11,9,19,24,25,38,40
782,2,4,10,9,9,11,9,19,23,26,38,40
782,2,4,10,9,9,11,9,19,23,26,38,40
782,2,4,10,9,9,11,9,19,24,25,38,39
782,2,4,10,9,9,11,9,19,23,26,38,40
782,2,4,10,9,9,11,9,19,23,26,37,40
1167,1,2,9,12,7,10,16,17,21,27,29,32
1167,1,2,9,12,7,10,16,18,21,27,29,32
1167,1,2,9,12,7,10,16,18,21,27,29,32
1167,1,2,9,12,7,10,16,17,21,27,29,32
1167,1,2,9,12,7,10,16,17,21,27,29,32
1167,1,2,9,12,7,10,16,17,21,27,29,32
1167,1,2,9,12,7,10,16,18,21,27,29,32
1167,1,2,9,12,7,10,16,18,21,27,29,32
1167,1,2,9,12,7,10,16,17,21,27,29,32
1167,1,2,9,12,7,10,16,17,21,27,29,32
1167,1,2,9,12,7,10,16,18,21,27,29,32
1167,1,2,9,12,7,10,16,18,21,27,29,32
1167,1,2,9,12,7,10,16,18,21,27,29,32
1167,1,2,9,12,7,10,16,18,21,27,29,32
1167,1,2,9,12,7,10,16,17,21,27,29,32
1178,1,2,10,6,7,16,13,14,24,30,29,37
1178,1,2,10,6,7,16,13,14,24,30,29,37
1178,1,2,10,6,7,16,13,14,24,31,28,37
1178,1,2,10,6,7,16,13,14,24,30,29,37
1178,1,2,10,6,7,16,13,14,24,30,28,37
1178,1,2,10,6,7,16,13,14,24,29,29,37
1178,1,2,10,6,7,16,13,14,24,30,29,37
1178,1,2,10,6,7,16,13,14,24,31,28,37
1178,1,2,10,6,7,16,13,14,24,30,28,37
1178,1,2,10,6,7,16,13,14,24,31,28,37
1178,1,2,10,6,7,16,13,14,24,31,28,37
1178,1,2,10,6,7,16,13,14,24,30,28,37
1178,1,2,10,6,7,16,13,14,24,30,29,37
1178,1,2,10,6,7,16,13,14,24,30,28,37
1178,1,2,10,6,7,16,13,14,24,31,28,37
1550,1,2,2,4,12,9,15,18,24,15,17,28
1550,1,2,2,4,12,9,15,18,24,15,16,27
1550,1,2,2,4,12,9,15,18,24,15,15,28
1550,1,2,2,4,12,9,15,18,24,15,15,29
1550,1,2,2,4,12,9,15,18,24,15,17,28
1550,1,2,2,4,12,9,15,18,24,15,17,28
1550,1,2,2,4,12,9,15,18,24,15,15,29
1550,1,2,2,4,12,9,15,18,24,15,17,29
1550,1,2,2,4,12,9,15,18,24,15,16,29
1550,1,2,2,4,12,9,15,18,24,15,16,29
1550,1,2,2,4,12,9,15,18,24,15,16,29
1550,1,2,2,4,12,9,15,18,24,15,16,29
1550,1,2,2,4,12,9,15,18,24,15,15,29
1550,1,2,2,4,12,9,15,18,24,15,17,29
1550,1,2,2,4,12,9,15,18,24,15,16,28
1700,2,2,2,7,12,13,16,24,25,15,30,26
1700,2,2,2,7,12,13,16,24,25,15,30,26
1700,2,2,2,7,12,13,16,24,25,16,29,26
